Description,Date,Amount,Area,Type
Streaming plataforma digital,28/02/2026,"10,00",Leisure,Expenses
Nómina mensual trabajo,27/02/2026,"629,58",Salary,Income
Alquiler bici turismo,25/02/2026,"51,00",Vacations,Expenses
Salida bar copas,22/02/2026,"2,80",Leisure,Expenses
Compra diaria alimentación,21/02/2026,"24,80",Food,Expenses
Pedido comida online,21/02/2026,"21,60",Food,Expenses
Seguro coche mensual,21/02/2026,"6,50",Invoice,Expenses
Paseo turístico ciudad,09/02/2026,"3,90",Leisure,Expenses
Café con compañeros,08/02/2026,"8,00",Leisure,Expenses
Noche fútbol bar,08/02/2026,"4,50",Leisure,Expenses
Micro inversión fondo,07/02/2026,"20,00",Investment,Expenses
Factura luz mes,07/02/2026,"10,00",Invoice,Expenses
Mercadona semana despensa,06/02/2026,"17,20",Food,Expenses
Recibo domiciliado mensual,06/02/2026,"10,00",Invoice,Expenses
Aportación fondo indexado,01/02/2026,"180,00",Investment,Expenses
Alimentación semana corriente,01/02/2026,"29,30",Food,Expenses
Cena romántica restaurante,30/01/2026,"6,97",Food,Expenses
Ingreso sueldo mes,29/01/2026,"629,58",Salary,Income
Factura internet fibra,28/01/2026,"32,98",Invoice,Expenses
Amazon Prime renovación,20/01/2026,"11,66",Invoice,Expenses
Cuota plataforma web,20/01/2026,"25,00",Invoice,Expenses
Ingreso puntual extra,19/01/2026,"200,00",Deposit,Income
Aportación mínima fondo,18/01/2026,"20,00",Investment,Expenses
Actividad turística viaje,14/01/2026,"429,81",Vacations,Expenses
Devolución dinero prestado,09/01/2026,"51,71",Deposit,Income
Compra online facturada,08/01/2026,"10,00",Invoice,Expenses
Tarde de compras,06/01/2026,"7,15",Leisure,Expenses
Compra ocio personal,05/01/2026,"7,05",Leisure,Expenses
Inversión ETF mensual,01/01/2026,"180,00",Investment,Expenses
Ocio fin de semana,30/12/2025,"9,70",Leisure,Expenses
Videojuego descarga digital,30/12/2025,"18,00",Leisure,Expenses
Streaming plataforma digital,28/12/2025,"5,00",Leisure,Expenses
Café con compañeros,27/12/2025,"9,00",Leisure,Expenses
Cobro laboral mensual,24/12/2025,"629,58",Salary,Income
Cena restaurante semana,23/12/2025,"12,50",Leisure,Expenses
Tómbola lotería ocio,19/12/2025,"12,80",Leisure,Expenses
Videojuego descarga digital,18/12/2025,"10,50",Leisure,Expenses
Compra grande mensual,17/12/2025,"7,00",Food,Expenses
Cena entre semana,15/12/2025,"42,80",Food,Expenses
Recibo agua mensual,14/12/2025,"78,98",Invoice,Expenses
Factura gas calefacción,12/12/2025,"15,00",Invoice,Expenses
Factura teléfono móvil,10/12/2025,"24,63",Invoice,Expenses
Servicio profesional puntual,9/12/2025,"10,00",Invoice,Expenses
Café con compañeros,9/12/2025,"20,40",Leisure,Expenses
Cobro deuda pendiente,5/12/2025,"1,71",Deposit,Income
Evento deporte espectáculo,4/12/2025,"3,40",Leisure,Expenses
Micro inversión fondo,4/12/2025,"20,00",Investment,Expenses
Aportación fondo indexado,4/12/2025,"180,00",Investment,Expenses
Transferencia recibida amigo,4/12/2025,"50,00",Deposit,Income
Cena marisquería vacaciones,30/11/2025,"4,50",Vacations,Expenses
Hotel noche viaje,30/11/2025,"46,79",Vacations,Expenses
Ingreso sueldo mes,29/11/2025,"629,58",Salary,Income
Entrada museo viaje,28/11/2025,"3,60",Vacations,Expenses
Almuerzo entre semana,28/11/2025,"18,20",Food,Expenses
Seguro coche mensual,28/11/2025,"20,00",Invoice,Expenses
Noche fútbol bar,28/11/2025,"29,80",Leisure,Expenses
Seguro hogar anual,28/11/2025,"85,66",Invoice,Expenses
Concierto música live,27/11/2025,"3,60",Leisure,Expenses
Tarifa plan datos móvil,27/11/2025,"14,25",Invoice,Expenses
Reembolso compra anterior,26/11/2025,"50,00",Deposit,Income
Compra diaria alimentación,25/11/2025,"5,00",Food,Expenses
Tarde de compras,23/11/2025,"50,00",Leisure,Expenses
Cuota plataforma web,23/11/2025,"1,94",Invoice,Expenses
Comida rápida mediodía,19/11/2025,"3,32",Food,Expenses
Salida bar copas,18/11/2025,"25,76",Leisure,Expenses
Compra participaciones fondo,12/11/2025,"100,00",Investment,Expenses
Cena restaurante semana,10/11/2025,"3,24",Leisure,Expenses
Recibo domiciliado mensual,8/11/2025,"11,00",Invoice,Expenses
Devolución dinero prestado,6/11/2025,"50,00",Deposit,Income
Factura gas calefacción,4/11/2025,"10,00",Invoice,Expenses
Aportación cartera bolsa,1/11/2025,"50,00",Investment,Expenses
Inversión periódica fondo,1/11/2025,"50,00",Investment,Expenses
Factura internet fibra,31/10/2025,"304,99",Invoice,Expenses
Videojuego descarga digital,31/10/2025,"8,38",Leisure,Expenses
Recibo agua mensual,30/10/2025,"0,90",Invoice,Expenses
